Top_RGB_Cluster,Representative_Color,Bottom_RGB_List
144,"(100, 94, 77)","[(94, 96, 73), (35, 42, 41), (41, 42, 39)]"
145,"(99, 100, 96)","[(99, 116, 123), (122, 143, 149), (39, 45, 51), (56, 62, 56), (57, 62, 53), (54, 59, 54)]"
146,"(22, 27, 25)","[(30, 35, 35), (36, 41, 38), (103, 99, 80), (12, 17, 12), (81, 83, 69), (14, 21, 18), (207, 211, 207), (90, 108, 118), (67, 95, 115), (46, 49, 46), (35, 44, 58), (164, 171, 161), (202, 204, 218), (106, 132, 151), (209, 207, 187), (71, 52, 43)]"
147,"(76, 55, 37)","[(83, 117, 123), (140, 112, 76)]"
148,"(111, 135, 145)","[(37, 40, 40), (157, 162, 160), (61, 64, 65)]"
149,"(147, 165, 182)","[(19, 26, 22)]"
150,"(107, 112, 112)","[(63, 66, 62), (174, 177, 170), (26, 33, 32), (20, 83, 153), (148, 154, 151), (36, 35, 37), (63, 67, 67)]"
151,"(115, 99, 91)","[(53, 70, 77), (17, 24, 19)]"
152,"(73, 42, 25)","[(118, 96, 83), (55, 56, 47)]"
153,"(165, 171, 170)","[(115, 136, 145), (40, 43, 41), (125, 129, 120), (50, 52, 44)]"
154,"(131, 121, 104)","[(43, 51, 67), (36, 47, 50), (66, 71, 67)]"
155,"(228, 235, 231)","[(172, 146, 125)]"
156,"(147, 155, 152)","[(25, 33, 36), (52, 55, 52), (50, 63, 53), (45, 46, 44), (56, 61, 49)]"
157,"(55, 67, 69)","[(42, 44, 47), (33, 36, 33), (53, 53, 54)]"
158,"(137, 142, 138)","[(109, 126, 138), (85, 76, 71), (56, 63, 70), (45, 58, 54), (64, 65, 65), (12, 17, 24), (31, 37, 44), (133, 151, 173)]"
159,"(144, 121, 80)","[(33, 39, 40)]"
160,"(32, 38, 38)","[(93, 93, 94), (60, 73, 100), (47, 47, 43), (97, 100, 98), (71, 70, 71), (43, 51, 54), (129, 142, 145), (35, 39, 39), (46, 48, 47), (43, 49, 60)]"
161,"(34, 44, 56)","[(29, 45, 57), (100, 103, 104), (105, 107, 106), (164, 173, 171), (170, 187, 212)]"
162,"(121, 82, 58)","[(56, 58, 47)]"
163,"(70, 60, 47)","[(84, 82, 79), (62, 68, 58)]"
164,"(47, 56, 75)","[(22, 25, 21), (127, 147, 161), (173, 177, 176), (25, 33, 37)]"
165,"(181, 178, 171)","[(30, 38, 39), (100, 103, 101), (20, 22, 19), (36, 38, 30), (100, 93, 85), (80, 106, 118), (61, 72, 74)]"
166,"(16, 22, 23)","[(67, 71, 72), (142, 157, 169), (31, 42, 49), (117, 126, 127), (56, 73, 84), (5, 8, 7), (80, 128, 189), (53, 73, 66), (83, 97, 101)]"
167,"(102, 105, 98)","[(30, 36, 40), (137, 135, 135), (15, 17, 21), (133, 138, 127), (32, 36, 33)]"
168,"(155, 139, 121)","[(194, 173, 136), (119, 141, 148), (195, 196, 192)]"
169,"(22, 35, 42)","[(29, 26, 27), (169, 150, 119), (102, 121, 124)]"
170,"(61, 59, 51)","[(112, 111, 103), (140, 129, 120), (164, 169, 166), (23, 53, 49), (7, 20, 7)]"
171,"(92, 86, 58)","[(26, 55, 126)]"
172,"(42, 61, 37)","[(42, 48, 53)]"
173,"(160, 174, 179)","[(184, 185, 174), (55, 52, 49), (136, 106, 86)]"
174,"(76, 81, 80)","[(69, 70, 69), (31, 39, 40), (97, 124, 142), (59, 69, 74), (54, 59, 61), (30, 34, 30), (59, 81, 104)]"
175,"(67, 72, 75)","[(21, 25, 22), (134, 143, 141), (46, 45, 44), (42, 46, 52), (104, 114, 115)]"
176,"(167, 179, 181)","[(47, 79, 91), (58, 78, 85), (42, 52, 42)]"
177,"(61, 79, 87)","[(160, 156, 148), (179, 177, 186), (46, 43, 47), (193, 190, 180)]"
178,"(108, 151, 194)","[(102, 140, 177)]"
179,"(82, 46, 47)","[(38, 42, 41)]"
180,"(40, 42, 31)","[(86, 80, 70), (70, 79, 90), (86, 34, 36), (40, 40, 40), (103, 129, 135)]"
181,"(88, 117, 135)","[(24, 29, 30), (46, 56, 63)]"
182,"(88, 94, 63)","[(80, 89, 60)]"
183,"(122, 114, 93)","[(51, 51, 49)]"
184,"(119, 130, 137)","[(93, 113, 124), (23, 34, 36), (25, 33, 41), (188, 188, 177)]"
185,"(48, 52, 49)","[(61, 72, 66), (80, 97, 102), (94, 100, 99), (172, 172, 169), (118, 138, 139), (85, 27, 33), (148, 153, 150), (115, 122, 122), (39, 48, 61), (162, 166, 163), (35, 36, 31), (35, 47, 52), (28, 32, 28), (36, 40, 36)]"
186,"(44, 27, 17)","[(158, 147, 127)]"
187,"(57, 56, 43)","[(181, 178, 160), (133, 130, 113), (192, 194, 187)]"
188,"(128, 111, 75)","[(64, 63, 59)]"
189,"(91, 90, 84)","[(35, 40, 39), (58, 65, 64), (84, 83, 69)]"
190,"(30, 65, 116)","[(133, 152, 159)]"
191,"(135, 135, 122)","[(42, 49, 40), (91, 97, 95), (94, 93, 76), (31, 36, 35), (38, 54, 72), (88, 90, 81), (172, 151, 111)]"
192,"(84, 89, 90)","[(125, 143, 143), (49, 59, 75), (119, 131, 145), (47, 45, 32), (64, 86, 110)]"
193,"(26, 32, 38)","[(112, 110, 102), (97, 101, 100), (54, 58, 59), (85, 95, 105), (26, 34, 40)]"
194,"(179, 186, 187)","[(112, 125, 116), (180, 187, 155), (113, 127, 135), (189, 193, 195), (10, 21, 35)]"
195,"(84, 122, 154)","[(42, 50, 60)]"
196,"(153, 161, 163)","[(22, 32, 39), (60, 62, 62), (105, 105, 91), (32, 40, 43)]"
197,"(49, 60, 62)","[(40, 48, 47), (32, 35, 32), (64, 64, 67), (45, 47, 47), (121, 125, 122)]"
198,"(208, 202, 174)","[(60, 63, 60), (127, 136, 80)]"
199,"(64, 66, 62)","[(54, 68, 73), (67, 76, 95), (35, 43, 51), (157, 161, 156), (78, 90, 97), (98, 102, 91), (89, 96, 98), (26, 28, 22)]"
